# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.01
# Times[minutes] Activity[kBq/ml]
7.921455e+01 1.317825e+01
7.951574e+01 1.934757e+01
7.981694e+01 1.797962e+01
8.011814e+01 1.589824e+01
8.041933e+01 1.532596e+01
8.072053e+01 1.290976e+01
8.102172e+01 8.879476e+00
8.132292e+01 9.798600e+00
8.162412e+01 1.225878e+01
8.192531e+01 1.155018e+01
8.222651e+01 1.054175e+01
8.252770e+01 1.662113e+01
8.282890e+01 1.169024e+01
8.313010e+01 1.220916e+01
8.343129e+01 1.398062e+01
8.373249e+01 1.805691e+01
8.403368e+01 1.520041e+01
8.433488e+01 1.332335e+01
8.463608e+01 1.487844e+01
8.493727e+01 9.313965e+00
8.523847e+01 1.470672e+01
8.553966e+01 1.243124e+01
8.584086e+01 1.243509e+01
8.614206e+01 8.699552e+00
8.644325e+01 1.362139e+01
8.674445e+01 1.443938e+01
8.704564e+01 1.143491e+01
8.734684e+01 1.119363e+01
8.764804e+01 1.036933e+01
8.794923e+01 1.165516e+01
8.825043e+01 9.252114e+00
8.855162e+01 1.192089e+01
8.885282e+01 1.246956e+01
8.915402e+01 1.056466e+01
8.945521e+01 1.562083e+01
8.975641e+01 1.321234e+01
9.005760e+01 1.138235e+01
9.035880e+01 1.639472e+01
9.066000e+01 1.002925e+01
9.096119e+01 1.146999e+01
9.126239e+01 1.265484e+01
9.156358e+01 1.441507e+01
9.186478e+01 1.040798e+01
9.216598e+01 1.458459e+01
9.246717e+01 1.107344e+01
9.276837e+01 1.315446e+01
9.306956e+01 1.243427e+01
9.337076e+01 1.514096e+01
9.367196e+01 9.747427e+00
9.397315e+01 1.660352e+01
9.427435e+01 1.203120e+01
9.457554e+01 1.354270e+01
9.487674e+01 1.483493e+01
9.517794e+01 1.437169e+01
9.547913e+01 8.682000e+00
9.578033e+01 1.441879e+01
9.608152e+01 1.177707e+01
9.638272e+01 1.877301e+01
9.668392e+01 1.172795e+01
9.698511e+01 1.228145e+01
9.728631e+01 1.426881e+01
9.758750e+01 1.269142e+01
9.788870e+01 1.378041e+01
9.818990e+01 1.304722e+01
9.849109e+01 1.119078e+01
9.879229e+01 1.115598e+01
9.909348e+01 1.157463e+01
9.939468e+01 1.487873e+01
9.969588e+01 1.298500e+01
9.999707e+01 1.274667e+01
1.002983e+02 1.209022e+01
1.005995e+02 1.284155e+01
1.009007e+02 1.094443e+01
1.012019e+02 1.021919e+01
1.015031e+02 1.178936e+01
1.018042e+02 1.142731e+01
1.021054e+02 1.822947e+01
1.024066e+02 1.372930e+01
1.027078e+02 1.217798e+01
1.030090e+02 1.338225e+01
1.033102e+02 1.397496e+01
1.036114e+02 1.323972e+01
1.039126e+02 6.906297e+00
1.042138e+02 1.492232e+01
1.045150e+02 1.299053e+01
1.048162e+02 1.483121e+01
1.051174e+02 1.245319e+01
1.054186e+02 1.452129e+01
1.057198e+02 8.721633e+00
1.060210e+02 1.062579e+01
1.063222e+02 1.532849e+01
1.066234e+02 9.084739e+00
1.069246e+02 1.138664e+01
1.072258e+02 1.289826e+01
1.075270e+02 1.498228e+01
1.078282e+02 1.027941e+01
1.081294e+02 1.462609e+01
1.084306e+02 1.434479e+01
1.087318e+02 1.188887e+01
1.090330e+02 1.105965e+01
1.093341e+02 1.785111e+01
1.096353e+02 1.055013e+01
1.099365e+02 1.589196e+01
1.102377e+02 1.376677e+01
1.105389e+02 1.212541e+01
1.108401e+02 1.330837e+01
1.111413e+02 1.182648e+01
1.114425e+02 1.557135e+01
1.117437e+02 1.523212e+01
1.120449e+02 1.170951e+01
1.123461e+02 1.195951e+01
1.126473e+02 1.394944e+01
1.129485e+02 1.033912e+01
1.132497e+02 1.355968e+01
1.135509e+02 1.216014e+01
1.138521e+02 1.532223e+01
1.141533e+02 1.296019e+01
1.144545e+02 1.052566e+01
1.147557e+02 1.399974e+01
1.150569e+02 1.254994e+01
1.153581e+02 8.396699e+00
1.156593e+02 1.637865e+01
1.159605e+02 1.685581e+01
1.162617e+02 1.094006e+01
1.165629e+02 1.427655e+01
1.168640e+02 1.034723e+01
1.171652e+02 1.238063e+01
1.174664e+02 1.028291e+01
1.177676e+02 9.708878e+00
1.180688e+02 1.199905e+01
1.183700e+02 1.281992e+01
1.186712e+02 1.134253e+01
1.189724e+02 1.115228e+01
1.192736e+02 1.542608e+01
1.195748e+02 1.206801e+01
1.198760e+02 1.245771e+01
